d_ano,d_muni,d_nombmuni,d_provincia,d_nomsec,d_nomzon,dane_ant,d_nombinst,d_sede,d_nombsede,d_nomjor,d_grado,d_edad,d_genero,d_hombres,d_mujeres,d_tipo,metodo,sector,edad,etnia,discapa
2022,20,ALBANIA,VÉLEZ,OFICIAL,RURAL,2.6802E+11,COLEGIO RAFAEL URIBE URIBE,268020000531A,COLEGIO RAFAEL URIBE URIBE,MAÑANA,8,15,F,0,1,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,15,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,51,ARATOCA,GUANENTA,OFICIAL,URBANA,1.68051E+11,COLEGIO SAN LUIS,168051000224A,COLEGIO SAN LUIS,MAÑANA,1,7,M,1,0,DESPLAZAMIENTO FORZADO,EDUCACION TRADICIONA,1,7,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,51,ARATOCA,GUANENTA,OFICIAL,URBANA,1.68051E+11,COLEGIO SAN LUIS,168051000224A,COLEGIO SAN LUIS,MAÑANA,10,15,M,1,0,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,15,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,51,ARATOCA,GUANENTA,OFICIAL,URBANA,1.68051E+11,COLEGIO SAN LUIS,168051000224A,COLEGIO SAN LUIS,MAÑANA,2,8,F,0,1,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,8,NEGRITUDES,NO TIENE DISCAPACIDAD
2022,51,ARATOCA,GUANENTA,OFICIAL,URBANA,1.68051E+11,COLEGIO SAN LUIS,168051000224A,COLEGIO SAN LUIS,MAÑANA,3,10,M,1,0,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,10,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,51,ARATOCA,GUANENTA,OFICIAL,URBANA,1.68051E+11,COLEGIO SAN LUIS,168051000224A,COLEGIO SAN LUIS,MAÑANA,6,11,F,0,1,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,11,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,51,ARATOCA,GUANENTA,OFICIAL,URBANA,1.68051E+11,COLEGIO SAN LUIS,168051000224A,COLEGIO SAN LUIS,MAÑANA,6,11,M,1,0,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,11,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,51,ARATOCA,GUANENTA,OFICIAL,URBANA,1.68051E+11,COLEGIO SAN LUIS,168051000224A,COLEGIO SAN LUIS,MAÑANA,8,17,M,1,0,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,17,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,51,ARATOCA,GUANENTA,OFICIAL,URBANA,1.68051E+11,COLEGIO SAN LUIS,168051000224A,COLEGIO SAN LUIS,MAÑANA,1,8,F,0,1,SIN INFORMACION,EDUCACION TRADICIONA,1,8,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,51,ARATOCA,GUANENTA,OFICIAL,URBANA,1.68051E+11,COLEGIO SAN LUIS,168051000224A,COLEGIO SAN LUIS,MAÑANA,5,14,F,0,1,SIN INFORMACION,EDUCACION TRADICIONA,1,14,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,51,ARATOCA,GUANENTA,OFICIAL,URBANA,1.68051E+11,COLEGIO SAN LUIS,168051000224A,COLEGIO SAN LUIS,NOCTURNA,24,15,M,1,0,EN SITUACION DE DESPLAZAMIENTO,PROGRAMA PARA JOVENE,1,15,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,51,ARATOCA,GUANENTA,OFICIAL,RURAL,2.68051E+11,I.E. CLAVELLINAS,268051000105C,ESCUELA RURAL LAJA CAMPAMENTO,MAÑANA,5,11,F,0,1,EN SITUACION DE DESPLAZAMIENTO,ESCUELA NUEVA,1,11,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,51,ARATOCA,GUANENTA,OFICIAL,RURAL,2.68051E+11,I.E. CLAVELLINAS,268051000105E,ESCUELA RURAL MANCHEGO,MAÑANA,5,10,F,0,1,DESPLAZAMIENTO FORZADO,ESCUELA NUEVA,1,10,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,51,ARATOCA,GUANENTA,OFICIAL,RURAL,2.68051E+11,I.E. CLAVELLINAS,268051000105E,ESCUELA RURAL MANCHEGO,MAÑANA,8,13,M,1,0,DESPLAZAMIENTO FORZADO,POST PRIMARIA,1,13,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,51,ARATOCA,GUANENTA,OFICIAL,RURAL,2.68051E+11,I.E. CLAVELLINAS,268051000105E,ESCUELA RURAL MANCHEGO,MAÑANA,11,18,M,1,0,EN SITUACION DE DESPLAZAMIENTO,MEDIA RURAL,1,18,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,51,ARATOCA,GUANENTA,OFICIAL,RURAL,2.68051E+11,I.E. CLAVELLINAS,268051000105E,ESCUELA RURAL MANCHEGO,MAÑANA,2,7,M,1,0,OTROS,ESCUELA NUEVA,1,7,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,51,ARATOCA,GUANENTA,OFICIAL,RURAL,2.68051E+11,I.E. CLAVELLINAS,268051000105H,ESCUELA RURAL LA TOMA DE SAN CARLOS,MAÑANA,8,13,M,1,0,DESPLAZAMIENTO FORZADO,POST PRIMARIA,1,13,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,51,ARATOCA,GUANENTA,OFICIAL,RURAL,2.68051E+11,I.E. CLAVELLINAS,268051000105H,ESCUELA RURAL LA TOMA DE SAN CARLOS,MAÑANA,3,9,F,0,1,EN SITUACION DE DESPLAZAMIENTO,ESCUELA NUEVA,1,9,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,51,ARATOCA,GUANENTA,OFICIAL,RURAL,2.68051E+11,I.E. CLAVELLINAS,268051000105H,ESCUELA RURAL LA TOMA DE SAN CARLOS,MAÑANA,4,13,F,0,1,EN SITUACION DE DESPLAZAMIENTO,ESCUELA NUEVA,1,13,NINGUN GRUPO ETNICO,DISCAPACIDAD MULTIPLE
2022,51,ARATOCA,GUANENTA,OFICIAL,RURAL,2.68051E+11,INSTITUCION EDUCATIVA  EL PORTICO,268051000172A,INSTITUCION EDUCATIVA  EL PORTICO,MAÑANA,2,8,F,0,1,DESPLAZAMIENTO FORZADO,ESCUELA NUEVA,1,8,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,51,ARATOCA,GUANENTA,OFICIAL,RURAL,2.68051E+11,INSTITUCION EDUCATIVA  EL PORTICO,268051000172A,INSTITUCION EDUCATIVA  EL PORTICO,MAÑANA,3,8,F,0,1,DESPLAZAMIENTO FORZADO,ESCUELA NUEVA,1,8,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,51,ARATOCA,GUANENTA,OFICIAL,RURAL,2.68051E+11,INSTITUCION EDUCATIVA  EL PORTICO,268051000172A,INSTITUCION EDUCATIVA  EL PORTICO,MAÑANA,4,11,M,1,0,DESPLAZAMIENTO FORZADO,ESCUELA NUEVA,1,11,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,51,ARATOCA,GUANENTA,OFICIAL,RURAL,2.68051E+11,INSTITUCION EDUCATIVA  EL PORTICO,268051000172A,INSTITUCION EDUCATIVA  EL PORTICO,MAÑANA,5,9,F,0,1,DESPLAZAMIENTO FORZADO,ESCUELA NUEVA,1,9,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,51,ARATOCA,GUANENTA,OFICIAL,RURAL,2.68051E+11,INSTITUCION EDUCATIVA  EL PORTICO,268051000172A,INSTITUCION EDUCATIVA  EL PORTICO,MAÑANA,7,12,F,0,1,DESPLAZAMIENTO FORZADO,POST PRIMARIA,1,12,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,51,ARATOCA,GUANENTA,OFICIAL,RURAL,2.68051E+11,INSTITUCION EDUCATIVA  EL PORTICO,268051000172A,INSTITUCION EDUCATIVA  EL PORTICO,MAÑANA,8,14,F,0,1,DESPLAZAMIENTO FORZADO,POST PRIMARIA,1,14,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,51,ARATOCA,GUANENTA,OFICIAL,RURAL,2.68051E+11,INSTITUCION EDUCATIVA  EL PORTICO,268051000172B,ESCUELA RURAL LA PALMA,MAÑANA,6,12,M,1,0,EN SITUACION DE DESPLAZAMIENTO,POST PRIMARIA,1,12,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,51,ARATOCA,GUANENTA,OFICIAL,RURAL,2.68051E+11,INSTITUCION EDUCATIVA  EL PORTICO,268051000172N,ESCUELA RURAL SANTA LUCIA,MAÑANA,1,7,F,0,1,SIN INFORMACION,ESCUELA NUEVA,1,7,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,51,ARATOCA,GUANENTA,OFICIAL,RURAL,2.68051E+11,INSTITUCION EDUCATIVA  EL PORTICO,268051000172N,ESCUELA RURAL SANTA LUCIA,MAÑANA,3,10,M,1,0,SIN INFORMACION,ESCUELA NUEVA,1,10,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,51,ARATOCA,GUANENTA,OFICIAL,RURAL,2.68051E+11,INSTITUCION EDUCATIVA  EL PORTICO,268051000172N,ESCUELA RURAL SANTA LUCIA,MAÑANA,5,13,M,1,0,SIN INFORMACION,ESCUELA NUEVA,1,13,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,51,ARATOCA,GUANENTA,PRIVADO,RURAL,4.68051E+11,INSTITUTO TECNICO PARA EL DESARROLLO RURAL IDEAR,468051000527A,INSTITUTO TECNICO PARA EL DESARROLLO RURAL IDEAR,COMPLETA,24,19,F,0,1,DESPLAZAMIENTO FORZADO,SAT,2,19,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150A,INSTITUTO INTEGRADO DE COMERCIO,MAÑANA,6,15,F,0,1,DESPLAZAMIENTO FORZADO,EDUCACION TRADICIONA,1,15,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150A,INSTITUTO INTEGRADO DE COMERCIO,MAÑANA,10,17,M,1,0,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,17,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150A,INSTITUTO INTEGRADO DE COMERCIO,MAÑANA,10,16,F,0,1,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,16,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150A,INSTITUTO INTEGRADO DE COMERCIO,MAÑANA,11,17,F,0,1,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,17,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150A,INSTITUTO INTEGRADO DE COMERCIO,MAÑANA,11,17,M,1,0,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,17,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150A,INSTITUTO INTEGRADO DE COMERCIO,MAÑANA,6,14,M,1,0,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,14,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150A,INSTITUTO INTEGRADO DE COMERCIO,MAÑANA,6,12,F,0,1,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,12,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150A,INSTITUTO INTEGRADO DE COMERCIO,MAÑANA,6,12,F,0,1,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,12,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150A,INSTITUTO INTEGRADO DE COMERCIO,MAÑANA,6,11,M,1,0,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,11,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150A,INSTITUTO INTEGRADO DE COMERCIO,MAÑANA,6,12,F,0,1,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,12,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150A,INSTITUTO INTEGRADO DE COMERCIO,MAÑANA,7,16,F,0,1,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,16,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150A,INSTITUTO INTEGRADO DE COMERCIO,MAÑANA,7,15,F,0,1,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,15,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150A,INSTITUTO INTEGRADO DE COMERCIO,MAÑANA,7,14,M,1,0,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,14,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150A,INSTITUTO INTEGRADO DE COMERCIO,MAÑANA,7,14,F,0,1,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,14,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150A,INSTITUTO INTEGRADO DE COMERCIO,MAÑANA,7,12,F,0,1,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,12,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150A,INSTITUTO INTEGRADO DE COMERCIO,MAÑANA,8,14,M,1,0,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,14,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150A,INSTITUTO INTEGRADO DE COMERCIO,MAÑANA,8,17,F,0,1,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,17,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150A,INSTITUTO INTEGRADO DE COMERCIO,MAÑANA,8,14,F,0,1,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,14,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150A,INSTITUTO INTEGRADO DE COMERCIO,MAÑANA,9,16,M,1,0,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,16,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150A,INSTITUTO INTEGRADO DE COMERCIO,MAÑANA,9,16,M,1,0,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,16,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150A,INSTITUTO INTEGRADO DE COMERCIO,MAÑANA,9,14,F,0,1,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,14,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150A,INSTITUTO INTEGRADO DE COMERCIO,MAÑANA,9,15,M,1,0,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,15,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150A,INSTITUTO INTEGRADO DE COMERCIO,TARDE,10,16,M,1,0,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,16,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150A,INSTITUTO INTEGRADO DE COMERCIO,TARDE,10,16,M,1,0,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,16,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150A,INSTITUTO INTEGRADO DE COMERCIO,TARDE,6,14,M,1,0,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,14,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150A,INSTITUTO INTEGRADO DE COMERCIO,TARDE,8,16,F,0,1,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,16,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150A,INSTITUTO INTEGRADO DE COMERCIO,TARDE,8,13,F,0,1,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,13,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150A,INSTITUTO INTEGRADO DE COMERCIO,TARDE,9,17,F,0,1,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,17,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150A,INSTITUTO INTEGRADO DE COMERCIO,TARDE,9,16,M,1,0,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,16,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150A,INSTITUTO INTEGRADO DE COMERCIO,TARDE,9,15,F,0,1,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,15,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150A,INSTITUTO INTEGRADO DE COMERCIO,TARDE,6,14,M,1,0,OTROS,EDUCACION TRADICIONA,1,14,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150A,INSTITUTO INTEGRADO DE COMERCIO,TARDE,10,17,F,0,1,VICTIMAS DE MINAS,EDUCACION TRADICIONA,1,17,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150B,ESCUELA URBANA CENTRO,MAÑANA,1,7,F,0,1,DESPLAZAMIENTO FORZADO,EDUCACION TRADICIONA,1,7,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150B,ESCUELA URBANA CENTRO,MAÑANA,2,10,F,0,1,DESPLAZAMIENTO FORZADO,EDUCACION TRADICIONA,1,10,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,77,BARBOSA,VÉLEZ,OFICIAL,URBANA,1.68077E+11,INSTITUTO INTEGRADO DE COMERCIO,168077000150B,ESCUELA URBANA CENTRO,MAÑANA,3,8,M,1,0,DESPLAZAMIENTO FORZADO,EDUCACION TRADICIONA,1,8,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
